Cluster;MunicipioCodigo;Municipio;Lat;Lon;Perfil
CBD_BEIRAMAR;4205407;Florianopolis;-27.5954;-48.5480;Centro corporativo
CENTRO_HISTORICO;4205407;Florianopolis;-27.5970;-48.5482;Turismo / servicos
TRINDADE;4205407;Florianopolis;-27.6011;-48.5320;Residencial universitario
UFSC;4205407;Florianopolis;-27.5969;-48.5500;Campus universitario
COQUEIROS;4205407;Florianopolis;-27.5820;-48.5700;Residencial classe A
ESTREITO_CAPOEIRAS;4205407;Florianopolis;-27.5880;-48.5850;Corredor comercial
AEROPORTO_HLZ;4205407;Florianopolis;-27.6700;-48.5470;Aeroporto / logistica
CAMPECHE;4205407;Florianopolis;-27.6800;-48.4800;Expansao sul
LAGOA_CONCEICAO;4205407;Florianopolis;-27.6050;-48.4600;Turismo / lazer
JURERE;4205407;Florianopolis;-27.4400;-48.5000;Alto padrao balnear
CANASVIEIRAS;4205407;Florianopolis;-27.4250;-48.4700;Turismo de massa
INGLESES;4205407;Florianopolis;-27.4350;-48.3950;Residencial norte
NORTE_ILHA;4205407;Florianopolis;-27.4800;-48.4500;Expansao norte
RESIDENCIAL_NORTE;4205407;Florianopolis;-27.5420;-48.5000;Residencial expansao
SC401_CORREDOR;4205407;Florianopolis;-27.5600;-48.5180;Corredor SC-401
SAO_JOSE_CENTRO;4216602;Sao Jose;-27.6100;-48.6180;Centro de Sao Jose
SAO_JOSE_BARREIROS;4216602;Sao Jose;-27.6450;-48.6500;Residencial sul SJ
SAO_JOSE_KOBRASOL;4216602;Sao Jose;-27.5950;-48.6300;Comercio SJ
SAO_JOSE_ROÇADO;4216602;Sao Jose;-27.5700;-48.6500;Industrial SJ
PALHOCA_CENTRO;4211900;Palhoca;-27.6450;-48.6700;Centro de Palhoca
PALHOCA_PEDRA_BRANCA;4211900;Palhoca;-27.6250;-48.6900;Expansao Palhoca
PALHOCA_BR101_SUL;4211900;Palhoca;-27.6800;-48.7000;Corredor BR-101 Sul
BIGUACU_BR101_NORTE;4202305;Biguacu;-27.4950;-48.6550;Corredor BR-101 Norte
VIA_EXPRESSA_CORREDOR;4205407;Florianopolis;-27.6200;-48.5800;Via Expressa
SANTO_AMARO;4215703;Santo Amaro da Imperatriz;-27.7100;-48.7800;Interior sul
GOV_CELSO_RAMOS;4206009;Governador Celso Ramos;-27.3200;-48.5550;Litoral norte
ANTONIO_CARLOS;4201208;Antonio Carlos;-27.5300;-48.7400;Hortigranjeiro / rural
